FEN,Score
8/6k1/8/4N3/1KP5/2B1PP2/8/1R6 w - - 25 106,+7
1rbk1br1/p1p1pppp/2p2n2/3p1P2/8/P1PnPK1P/1P1P2PN/RNB2B1R b - - 4 13,+824
r1bk4/ppp1ppb1/5Np1/6np/q1P5/NQ2PnP1/PP1P1P1P/R1B3KR w - - 3 23,-491
5k2/8/8/4PPK1/8/8/8/8 b - - 6 183,-12
3q2n1/p1p1n1pr/1pBk3p/8/7b/6P1/PPPP1P1P/RNBK2R1 w - - 7 26,-174
1R6/7k/p4p2/P4p2/3p1K2/8/8/7q b - - 12 135,+10
8/1p3Bp1/3rpk2/3p4/K1P2q2/P3b1P1/1P2RP1P/7R b - - 1 63,+2
6K1/3k4/8/8/7p/7P/8/8 b - - 71 275,+1088
8/2k5/8/6P1/2P5/5B2/3P4/1R1K4 w - - 20 162,+6
r1bqk2r/1pp2ppp/2n2n2/4p3/1bPp3P/1p4P1/PP1PPPN1/R1B1KBNR w KQkq - 0 10,-1239
4r3/8/2B4p/B7/1P4k1/2N1P3/P1PPKP1P/R6R b - - 0 65,-1327
rnb1kbr1/ppqppppp/2p4n/8/2PPPP2/2N5/PP4PP/R1BQKBNR b KQq - 0 5,-232
1rbq1k2/2np1p2/pp1p3b/1P1p3p/P2P3n/2P3PP/1R2PP2/2B1KBR1 w - - 3 39,-374
8/6p1/1p1r1k2/1P6/3P4/1K6/8/8 b - - 24 147,+11
k6q/8/3p2p1/5P2/b1P4P/3P1P1K/8/8 w - - 1 98,-1146
4q3/8/k1Bp1P2/3P4/2P5/3b4/7K/8 w - - 1 128,+1112
4k3/8/P2B4/8/6K1/2p5/2P5/8 w - - 9 201,+7
8/4k3/1KP5/8/8/PPB5/8/R7 b - - 2 125,-5
8/6k1/4p3/p2R4/P7/3K4/1PP3p1/5n2 w - - 1 90,+1148
8/3p4/3P4/1pp5/5p1k/3K4/7r/8 b - - 1 176,+7
2k2r2/4p3/1p5R/1P1p4/2P5/2N2P2/1n1PP1P1/2B1KB2 b - - 0 57,-1264
8/8/1p3k2/8/p7/8/8/4K3 b - - 5 140,+13
3B4/7k/8/2P5/3K4/8/8/8 b - - 50 223,-8
1k6/3K4/8/8/8/8/P7/8 w - - 4 168,+1
2K5/8/6p1/6Pp/7P/6Bk/8/8 w - - 1 163,+1327
4B3/1k6/3p3q/8/8/8/8/6K1 b - - 28 169,+10
8/ppp3pk/2bPp1rn/5rPp/1b5R/2P1P1P1/P2K1P2/RN3B2 w - - 5 25,+142
8/5K2/1P6/5k2/8/8/8/3B4 b - - 16 238,-8
rn5r/ppp2ppp/2k2B2/2bp4/b7/PQPP3P/1P2PPPR/RN2KBN1 b Q - 0 18,-898
2q1k3/p4R2/P7/K6p/8/8/1P6/8 b - - 41 161,+8
8/7k/8/5K2/3p4/1P1P4/2P5/8 w - - 19 135,+1327
8/5k2/4q3/RP3PK1/b2P3p/2P4P/4P3/8 b - - 10 103,+1168
8/7P/8/6k1/n7/p7/P5K1/1n6 b - - 0 138,-389
8/8/8/8/5r2/3K1k2/8/8 b - - 72 291,+9
8/6k1/6n1/8/3P4/8/3K4/8 w - - 26 193,0
8/NNnk4/1B3pP1/8/P4P2/8/8/3n1K2 b - - 12 126,-919
k7/3p4/7p/8/6K1/2r5/8/8 b - - 5 146,+1314
7r/2K4k/8/3P4/8/4B3/8/7N w - - 6 185,+309
1r1q1k2/p1ppppb1/1p3npr/1Nn4p/4P1PP/6R1/PPPPNP2/R1B1KQ2 w Q - 11 15,+355
2k5/1R4p1/3q4/p1p4p/2P5/PK4P1/4P3/b7 w - - 2 82,-1161
1r4k1/3N4/8/6N1/P3P3/2PP4/8/6K1 b - - 12 142,-820
r1bk1bn1/pB1pp2r/2pq1ppp/8/4P3/N6N/PPPPKPPP/R1BQ3R w - - 1 10,+950
r1b1kq1r/pppp1pp1/4p2p/8/1n1K2nQ/PP1P3P/2P1PPPB/RN3BNR w - - 9 21,+387
4b3/8/8/p5P1/2kP2K1/P7/8/RN6 b - - 2 116,-1061
rn1qkbr1/ppp1pNpp/3p3n/1N6/8/2P4b/PP1PPPPP/R1BQKB1R b KQq - 2 6,-135
8/8/8/8/1r6/3K1k2/8/8 w - - 73 292,-10
7K/1k6/8/p2Q4/P2P4/8/2R5/8 b - - 4 150,-2
8/7K/8/1B6/4k3/2B5/8/8 w - - 61 378,+198
4k3/2P5/8/8/p7/P7/7K/8 w - - 3 221,+12
2R5/5K2/8/8/6k1/8/3b4/8 w - - 6 150,+3
r2q1rk1/pp3pp1/2nb1n1p/2p2b2/3p3P/2P5/P2KPP2/RNB1QB1R w - - 0 16,-1327
4K1k1/8/P7/8/1P6/8/1P6/8 w - - 25 209,+7
8/3p1p2/2pP4/1p6/p6k/8/2K5/8 w - - 6 151,-27
5k2/1P6/4P3/7K/3P4/8/8/8 b - - 10 138,-7
4K3/6B1/8/7k/8/8/B7/8 w - - 95 395,0
r6n/rbk3p1/pp1p4/4p1Pp/4P2P/P3K1P1/RP1P4/1NB1n3 b - - 5 46,+953
5k2/8/6n1/8/3P4/5K2/8/8 b - - 29 194,0
5k2/8/4B3/5P1P/4P3/8/2K5/8 b - - 6 147,-11
8/7k/8/8/P7/5KB1/8/8 b - - 66 293,-11
2r5/p3k2p/3p2p1/np3P2/P2P1P2/1Pr1PN2/5RBP/3K3R b - - 1 61,-201
3k4/r2p2p1/3r1PP1/8/p2P1P1P/P1P5/2P5/2RK4 b - - 1 92,+555
4K3/8/P2k4/8/8/8/8/8 b - - 16 165,0
2b3nR/1ppp1k2/8/8/2PP2p1/5P2/1PNK2P1/5RN1 w - - 0 45,+1244
5K2/1k6/8/8/3r4/8/8/8 b - - 13 227,+7
2K1k3/8/8/8/8/8/2p5/7r w - - 24 217,-4
2k5/8/8/1R6/3p3P/8/5P2/1K2R3 w - - 9 100,+4
8/8/8/4k2P/1pP3p1/3r4/R4K2/8 w - - 2 129,-2
6r1/3k4/8/p4P2/P4B2/2NP1K1P/1PPR4/8 w - - 43 118,+1281
r1b1r3/pp1p1pk1/nN6/2p5/8/3P1P1q/PPP3B1/R1B2RK1 b - - 10 57,+656
8/1r6/7k/3K4/8/8/8/8 b - - 7 260,+49
8/4K3/8/3P4/4P3/4R3/6k1/8 b - - 22 190,-8
7K/4k3/4r3/8/8/8/8/8 b - - 19 152,+3
5k2/1q3p2/p1b2p2/1p6/2P5/4P1Q1/PP1P3P/1RBK1R2 w - - 4 60,+1301
2kn4/p7/2p3P1/2b5/1R6/6P1/PP6/R1B1K3 w - - 0 95,+1185
3R4/8/8/6k1/8/K7/8/8 b - - 58 285,-302
8/7k/8/8/2KP4/8/7B/8 b - - 18 165,-14
1rbqk2r/pppppp1N/1b4p1/8/1n6/5PP1/P1PPP2n/RNBQKB1R w KQ - 0 13,+244
8/2p4k/p3P3/3P4/8/1P1n4/7q/5K2 b - - 0 113,+1
8/p3pp1k/6N1/8/4PPr1/nP1PN3/P4K2/b7 w - - 3 60,-261
1k6/8/B2b4/4N1P1/8/2P5/P2P4/RK6 b - - 6 119,-1176
1k6/3K4/8/3P4/8/8/8/8 b - - 8 235,-11
8/3Pk3/P7/2P2P2/4P2p/7P/4K3/8 w - - 1 156,+6
2b2kN1/1ppp1p2/2r1p3/p1b5/1n1nB1P1/4P3/PPPP1P1P/RNB1K2R w KQ - 8 26,+856
8/p3p3/2p5/5Bk1/2KP1p2/P4P2/RP6/2BN4 w - - 1 55,+1294
8/4N3/5n1k/pK6/P3N3/4P3/8/8 b - - 11 178,-703
3K4/8/1P6/5k2/PP6/8/8/8 w - - 1 164,+10
7R/8/7P/8/8/P5k1/8/6K1 b - - 15 196,-7
R7/1k2p3/4P3/8/1p1br1PP/1P6/K7/8 w - - 8 152,-796
7K/4k3/8/8/8/pPn5/8/8 w - - 19 198,-8
r1b1kb1r/pppp1ppp/7n/4p3/1n5N/B2PP3/PPP2PPP/RN1QKB1R b KQ - 0 12,-996
6K1/8/6R1/kP6/8/4PP2/2P5/8 w - - 2 203,+1327
8/3p4/3P4/1Kn5/5N2/4B1k1/8/8 w - - 99 167,+14
r1bN1k2/pppp2p1/2rb1q2/5B2/3P2Pp/1P2PK2/P1P2P2/RN1Q1R2 b - - 6 28,-228
rnbqkb1r/ppp2ppp/5n2/3pp3/8/P5P1/1PPPPPBP/RNBQK1NR w KQkq - 1 4,-47
5r1r/6p1/p2k4/PP6/2p1PP1p/2P5/1K6/6R1 w - - 6 128,-809
5r2/8/3p2k1/6p1/8/8/4K1b1/b7 b - - 17 152,+8
2k5/5Np1/pP1p4/4p1PP/1r5n/1b1P3K/6n1/2B5 b - - 1 78,+1125
rnb2br1/pp1pp1pp/2p2kNn/1q3p2/8/3P2PB/PPP1PP1P/RNBQK2R b KQ - 4 10,+263
6k1/p3p3/6r1/B3r3/1n5b/1P4PP/P1b1P1K1/2RNR3 b - - 4 81,+10
rnbqkbnr/pppppp1p/8/6p1/2N5/5P1P/PPPPP1P1/R1BQKBNR b KQkq - 1 4,+70
7B/3k3n/4R3/8/p1P4P/3P1P2/PP2PKP1/5B2 w - - 0 71,+1327
r1bqk2r/pppp1pp1/n3pn1p/2b5/8/PPKP3P/1BP1PPP1/RN1Q1BNR b q - 10 9,+383
8/2r2k2/1P6/7p/2PP4/4P2P/P4P2/2RN1K2 w - - 0 102,+6
2k5/p7/1p3rPp/4r3/2b5/3P4/PPP2P1b/2K1R3 w - - 2 69,-875
2N4r/5k2/7B/p4P2/P7/3PK2P/1PP5/3R4 w - - 19 106,+1257
8/2k4n/8/p7/3PK3/2BP4/8/8 b - - 0 172,-5
8/3b3k/3p2p1/8/7K/8/4r3/b7 b - - 35 128,+3
8/1k2b2p/2R4p/1B3nr1/8/1P2P3/1PP2PPP/2N1K2R b K - 2 43,-1192
2K5/2P1k3/8/1P6/3p4/3P4/8/8 b - - 0 159,-8
8/8/4K3/3P4/4P3/4R3/7k/8 w - - 55 207,+7
b2rq3/2n2p1k/p3p2p/1Pp1PPr1/P1P5/3P2P1/3K1R2/R1B4B w - - 1 56,-568
2k5/B2pp3/8/P7/1b5K/4r3/1PP2PPP/4R3 b - - 2 64,+288
7R/8/7P/1k6/3P4/P5P1/8/7K w - - 5 164,+1327
8/4k3/P7/3b2K1/8/8/5B2/8 b - - 2 163,0
8/8/5N1P/5k2/8/PP6/1P6/4K3 w - - 3 175,+14
rn1qkb1r/pppbpp1p/3p2pn/8/8/1P1P1PPP/P1P1P3/RN1QKBNR b KQkq - 0 6,+865
8/2k5/8/p6n/1K1P4/8/3P4/2B5 w - - 0 164,+10
3K3k/8/8/2P5/1P1p4/3P4/8/8 w - - 13 150,+10
8/8/5K2/P5R1/8/8/4k3/8 b - - 36 234,-8
r1bqkb1r/ppp2ppp/2n2n2/4p3/2Pp4/4N1P1/PP1PPP1P/R1BQKBNR w KQkq - 0 6,-172
2b4k/p3pp2/2B3P1/8/2r5/2P1n2r/PB4P1/2K3R1 w - - 1 51,+23
6q1/8/7K/8/1kP5/1P6/8/3B4 b - - 5 158,+1120
6k1/8/8/4P3/8/2K5/4B3/8 w - - 22 186,+11
5rr1/1pp1pkp1/p5Np/n5n1/4P3/4K2P/PPPP1PP1/R1B3NR w - - 2 16,+923
1k1B4/p7/3R2P1/2p5/6P1/P7/1P4K1/8 b - - 13 131,-5
2r5/2kp2pR/3r2P1/p4p2/3PP2P/P1b5/1PP2P2/R2K4 w - - 7 84,+190
8/1K6/8/6pb/8/8/1b2r1k1/8 b - - 10 178,+9
7q/p1p1pB1k/4N3/3P4/5rP1/2PKP1P1/PP6/R6r w - - 4 69,+1
8/3k3n/8/p7/1B1PK3/8/3P4/8 w - - 14 171,+41
8/3K3k/8/6BP/p1PP4/P7/2P5/R6N w - - 63 138,+5
4n3/4B3/8/4k3/2p5/P2PP3/2K5/R7 b - - 25 98,-1068
2q5/1p3bkp/n2r2p1/p1p5/2p1P3/P2P3R/1PP2PPP/1RB1K3 w - - 5 52,-514
8/4kN2/P4R2/3K4/2P3P1/3PP3/7P/8 w - - 13 141,+5
5K2/2B5/4kP2/6Pp/6r1/4p3/8/8 b - - 0 137,+1267
3k4/1P6/8/5b2/8/5K2/8/8 w - - 1 164,+17
6k1/8/8/8/7P/2K5/8/8 w - - 0 240,+1
4Rn2/2p5/8/P4p1p/5k1P/8/4P1K1/2b2B2 w - - 14 106,+974
6k1/8/2K5/4p2p/4P2P/8/8/8 w - - 8 171,+1142
8/3R1K2/8/8/4P3/4k3/8/3R4 b - - 2 232,-5
3k4/R7/8/8/5p2/3p1P1p/5P1K/8 w - - 8 104,+1320
rnbq1bnr/1ppppk2/p4p1p/6p1/8/1NP3P1/PP1PPP1P/RNBQKBR1 b Q - 0 6,-27
r1bqkbr1/pppppppp/5n2/B7/3n4/3P1P2/PPPQP1PP/RN2KBNR b KQ - 6 7,+80
7R/6k1/6b1/P3K3/1p5p/2P4P/1P3P2/1N2n3 b - - 4 102,-468
r1b2br1/pp1qBpp1/n2Nk1Pp/2p5/8/3P1N2/PPP1PP1P/R2QKB1R w KQ - 3 18,+1222
8/7k/7P/P5pK/8/8/7q/8 w - - 11 150,-1148
8/rppn1p2/3k4/p7/3q2N1/R7/1PPP1P1P/2B3KR w - - 7 44,+387
4k3/4r3/3K4/8/8/8/8/8 b - - 51 168,+38
8/1p3p2/p3Bkp1/2p5/P1q1P3/2PP4/1R3P1P/4K3 w - - 0 71,+1175
5k2/8/8/2P5/p7/P7/7K/8 b - - 21 214,0
6K1/8/3k4/7r/8/8/8/q7 b - - 9 190,+2
k5K1/8/3P1b2/8/4P3/2P5/8/8 b - - 1 167,-879
8/8/7Q/1K6/8/6k1/8/8 w - - 9 249,+7
5q1k/1p4p1/3r3b/3p4/P1P3B1/1K4P1/1PR2P1P/6R1 w - - 7 75,-369
4K2k/8/8/3P4/8/8/5N2/6B1 w - - 19 206,+6
8/8/8/k7/8/1p5K/8/8 w - - 0 237,-1144
8/2k5/2P5/6K1/1B6/8/8/8 w - - 26 281,0
8/p1p1k2n/6q1/1PP5/1P1P1P2/2B1Pb2/2R5/2K1R3 w - - 1 92,-70
8/3qK2R/8/1P5p/P4k2/8/1P6/8 w - - 10 132,+12
7k/1p3p2/p1pB1Rp1/8/4P1B1/PqPP4/5P1P/1R2K3 b - - 3 65,-210
1K6/8/2B3k1/8/1P1P4/P1P5/8/8 w - - 3 162,+1327
8/k7/5P2/8/4Pb2/2p3rK/2P5/8 w - - 1 132,-1307
8/1k3K2/8/8/7p/7P/8/8 b - - 25 252,0
4b2k/p7/8/K7/8/PPP2P2/7B/1R5B b - - 16 121,-1298
1R6/6K1/8/4k2P/1P6/4P3/P3NP2/8 w - - 45 147,+9
2K5/5R2/4Q3/1k6/8/8/8/8 w - - 93 309,+3
2B5/8/2p5/pp5P/k2p4/3P4/P5K1/5R2 b - - 2 102,-1234
1rb1k3/2n2p2/pq2p2p/2p1PPr1/2P5/3P2P1/PP1K1R2/R1B4B b - - 0 40,+992
2Q2k2/p7/5K2/1P6/P5Pr/3qP3/8/1B2R2r b - - 0 136,-1
8/1R2K3/5p1k/1p1qP3/8/1P6/P2P3P/R1B5 w - - 3 98,+561
8/k7/5QP1/8/8/P1K4P/2P2P2/3R3B w - - 33 126,+2
r1bk2r1/pQ1pp3/3pn3/5pp1/2P5/P3PP2/1P1P1NP1/R1BK1B2 b - - 0 26,+103
8/2k2K2/7P/P7/8/8/8/8 w - - 2 211,+8
5K2/3R4/6k1/8/8/1n6/8/8 w - - 6 204,+1
1R6/5rp1/1p6/1Pk5/P7/3P4/1K6/8 b - - 4 123,0
r4b2/ppp5/3p2p1/8/2PkPP2/1P6/3PB1b1/4K3 w - - 3 48,-1027
2b5/4k3/8/p4QrP/P6K/8/8/8 w - - 4 116,+8
b1R5/7k/8/6P1/P1pPpP1p/5R2/1P1PK2P/2BB4 b - - 4 106,-1327
1k6/2R4p/8/1b6/8/8/1K6/2r5 b - - 10 160,+10
1rbqkbr1/2pppp1n/pp5p/2n3p1/3P1PPP/3R4/PPPKP3/R1BQNBN1 b - - 2 17,+815
5k2/p1prppb1/n7/5b2/1B1P2r1/1P2K1Pq/P1P1P2P/1R1N2NR b - - 6 54,+7
8/6k1/2KN4/q1Pn4/3P4/8/8/8 w - - 28 155,-412
8/K7/1P6/8/P4k2/1P5R/8/8 b - - 4 157,-9
6Q1/1k5K/8/8/1p4n1/8/8/8 b - - 12 128,+1296
5R2/2k5/8/4p2p/p3P2P/2K5/4R3/8 w - - 11 143,+4
8/4r2k/7P/5P2/5K2/8/8/8 b - - 2 172,+501
1k6/5K2/3P4/8/1p6/1P6/1P6/8 w - - 3 174,+7
8/3p1p2/p1pB4/1p1P2k1/8/2q5/K7/8 b - - 1 127,+1327
8/8/3k4/4R3/P3P3/8/1r3P2/6K1 w - - 13 132,+664
n7/8/pk3B2/1pp4p/1PP5/3P1rP1/3KPPP1/5BR1 w - - 4 50,+1156
3R4/6k1/2R5/8/P1P5/3P3p/4BP2/7K w - - 3 115,+2
8/P7/8/3K4/k2P4/4P3/8/8 b - - 0 174,-9
2kb4/8/6K1/3r2R1/PP6/4PP2/2P5/8 b - - 2 152,+630
r1b2knr/pp1pppbp/2p5/6q1/P3Q1p1/2P4P/RP1PPPPR/1NB1KBN1 w - - 3 11,+616
r1b1k1r1/pppp1ppp/4p2n/3N4/1b1n2q1/1P6/P1PPPPPP/RNBQKB1R w KQq - 8 9,+572
8/8/p5p1/6Pp/k6P/1bK3B1/8/8 b - - 16 102,+2
5r2/3b1pk1/pR6/1Pp1P1r1/P7/3P2P1/8/1RBK3B b - - 2 82,-725
2q2b1r/prp1pppN/1p1pk3/2nb4/5Pn1/Q2P4/PPPKP1PP/RNB2B1R b - - 12 16,+125
k7/pnn3p1/5P2/1P2K3/P5Pr/8/R2PPr2/2BN4 w - - 5 92,+520
7k/1K6/2B5/8/1P1P4/P1P5/8/8 w - - 17 169,+11
r1b1r1k1/p1pp2pp/np2p3/2b5/5QnP/3P4/PPP1PPP1/RN2KB1R w KQ - 5 12,+718
3R4/2k5/8/1p6/4P2P/6P1/PPP5/4K3 w - - 8 148,+10
b3k3/p1R2p2/3p4/np4P1/4P3/4RP2/3P4/2BK3N w - - 3 58,+1258
r1r5/1ppb1qp1/pk2p3/8/1P3P2/P5KP/N1P1P1P1/4RB1R w - - 1 50,-669
8/6k1/3Kb3/P7/8/1Pp1NP1P/8/4R3 b - - 1 126,-1307
8/5k2/1P1B4/p7/P5P1/K7/7R/8 b - - 16 174,-6
8/8/6k1/1KP5/4PP2/8/8/8 b - - 0 148,-19
k3b3/1pr2rQp/p2pq1p1/1P6/5b1n/P3PPPP/R1PPB3/1N2K1R1 b - - 2 31,+1020
8/p7/1p4k1/PP6/2K5/8/8/8 b - - 4 125,0
8/2K3k1/2B5/8/1P1P4/P1P5/8/8 w - - 19 170,+10
5K2/2B5/8/3P4/8/8/1N2k3/8 b - - 80 236,-9
1q1r4/k7/1p5p/1P4N1/bQ1P2R1/5P2/2P1P2P/4K3 w - - 4 69,+9
rnb2r2/pp1pppk1/5Npp/2pn3q/7P/3K1PQ1/PPPP4/1RB2RNB w - - 4 36,+959
8/3P4/5B1k/K7/8/8/8/8 w - - 1 179,+8
3k4/p1R5/8/qPP4b/1P1P1P2/4P2R/1K1n4/8 w - - 1 108,+1275
4k3/8/pp1Rpr2/3P4/4P3/PPK4P/4BP2/RN6 b - - 0 72,-1320
R3k1q1/1p2bp2/7p/3p2pP/3R4/1P6/2PP1KP1/5B2 b - - 19 65,-1009
n7/pr1kN2p/1ppp4/8/4b2R/2P4r/1P1PPPPP/2B1KBR1 w - - 5 28,+1270
4K1R1/6P1/1k6/3P1P2/4P3/2P5/8/b7 w - - 10 148,+1327
1r3b2/1p2pqB1/p1k3B1/n7/3p1P2/1P2PKP1/P1PP3P/RN1Q4 b - - 0 37,-364
6K1/3k4/8/p3B3/P7/5P2/3P4/3R4 w - - 39 132,+8
8/1kn5/p7/3Pp3/1K3b2/P6N/8/8 w - - 3 101,-752
8/6K1/4k3/8/n7/p7/P7/1n6 b - - 37 166,+12
1K6/5k2/8/8/4n3/8/8/2R5 w - - 26 166,+1
2kB4/8/8/1K6/8/4P3/8/8 w - - 19 235,+1185
3k2r1/8/7p/2K5/8/8/8/8 b - - 11 208,+1314
8/3N1k2/2P5/8/7P/8/2K5/8 w - - 15 178,+9
rnb2b1r/pp1pp1pp/2p2k1n/1q3p2/7N/3P2P1/PPP1PP1P/RNBQKB1R w KQ - 1 9,+311
5k1r/2pp1p2/p5P1/1p4P1/3P3q/2P5/1K6/8 w - - 1 102,-5
3B1kn1/8/p2p4/3P3P/3K4/8/7n/1r1b4 b - - 14 120,+1207
1q6/p2k3p/brp1p3/5N1B/3P2PP/1P6/P3PP2/R2QK2R b - - 18 42,-1189
rnbqkb1r/ppppp2p/5ppn/8/5B2/2NP4/PPP1PPPP/R2QKBNR w KQkq - 2 4,+94
4k3/ppp1qp2/3Qbp2/8/2P5/4P3/PP1P3P/1RBK3R w - - 15 53,+1105
2k4B/pn3p2/2r1p1p1/b1p5/P7/1P6/2RP2PP/6KR b - - 11 67,-205
8/4k3/5R2/1Pq5/b4K2/2P4P/4P3/8 w - - 16 125,-835
2b2k2/1p1p1p1n/4p3/p7/1br1B1P1/4P2R/P1PP1P1P/R1B2K2 w - - 2 44,+907
6k1/8/1P6/4p3/4P2P/6K1/8/8 w - - 13 135,+9
8/2R5/8/3kbr2/PP6/4PP1K/2P5/8 b - - 42 172,+705
2kq4/1p6/p2p2p1/1P6/2b2P2/P4PnP/2PP3K/3R2R1 w - - 11 56,-362
6Q1/6K1/8/p7/P4P2/8/3k4/8 w - - 7 173,+7
k7/2K5/6R1/8/P4P1B/P3P3/8/8 w - - 51 115,+1
6R1/8/4k2P/8/P7/8/6K1/8 w - - 9 206,+7
r1b2brQ/1p1kp1qp/n3N1pn/p1p5/2p5/4P3/PPPP1PPP/1RB1KBR1 w - - 3 14,-172
8/k2p3p/1p5r/1P6/3B2K1/8/8/8 w - - 4 119,-1130
8/1B3k2/2KP4/8/6P1/8/8/8 b - - 18 168,-12
8/pp3N2/r3k2q/1bp5/3n4/P2P1PK1/1PP3B1/1RB5 b - - 4 84,+1173
r1bqkbnr/pp1ppp1p/2p5/8/Pn4p1/7P/RPPPPPPR/1NBQKBN1 w kq - 0 6,-53
3K4/8/4P3/8/6k1/8/8/8 b - - 4 173,-10
4k3/8/8/8/3p4/8/B7/5K2 b - - 33 198,0
6r1/k1p5/Bp2N2p/4q3/bP1P4/8/1BP1PP1P/1Q1K3R w - - 5 53,+1327
8/1pp5/1P1p2p1/3P4/3K1b1k/r6b/8/8 b - - 42 88,+3
b7/7k/4PK2/7p/P7/6P1/8/8 w - - 1 105,+1181
1n6/2Np1kp1/ppp1pp2/4P1P1/5P2/nP3qR1/R1PP1N2/2B1K3 b - - 8 76,+248
8/8/1p4k1/1p1B3p/P2P3P/B1PK1p1P/3RPP2/8 w - - 2 87,+11
2r1r3/5ppp/4k3/1N1p3q/4P1P1/2P2P2/1P3K1P/2BR4 b - - 22 76,+1027
8/8/6r1/5pPk/5P2/7P/3K4/8 w - - 6 145,-1314
4k3/7K/2P1P3/8/7p/7P/8/8 w - - 2 200,+8
8/1k2p2N/3n1p2/p6p/4N1PP/3P4/3PP3/3Q1K2 b - - 3 87,-1281
8/8/P4k2/8/1PP3PP/8/5K2/8 w - - 9 128,+9
3B4/7k/8/1PP4P/n3P3/3P4/8/5K2 w - - 11 103,+1327
r1b1k3/pp1p2pp/2r5/n4p2/P1pP1PPb/1P6/4P1NP/RN1K1B1R w - - 7 41,+215
3k4/6K1/R6r/P7/5P1p/1P5P/8/1B6 b - - 0 151,-421
3q4/1p4pk/3r3b/3p1B2/P1P5/1K4P1/1PR2P1P/6R1 b - - 4 73,+443
2k5/1p4q1/p2p2p1/1P6/2b2P2/P4PnP/2PP2K1/1R4R1 w - - 3 52,-223
r1bqk2r/pp1n2bp/3ppn2/2p3N1/3P4/N7/PPP1PPPP/R1BQKBR1 w Qq - 1 13,+834
1rb2b2/1pkn4/3pp3/q1p2n1r/3P2P1/2PK3N/PP2PP1P/RN3B1R b - - 6 38,+1102
8/p2k4/5B2/4P3/3P1n2/P6P/P1P2P2/1KR2R2 b - - 8 104,-1241
8/8/P6k/8/1PP3PP/6K1/8/8 b - - 16 131,-8
rnbqkbnr/ppp2ppp/3pp3/8/6P1/1P6/P1PPPP1P/RNBQKBNR w KQkq - 0 3,-22
1k3r2/1R6/1p6/1PPp4/N4P2/3P4/1n2P1P1/2B1KB2 b - - 4 71,-1274
3k4/2p1ppbr/1r1P1np1/4N2p/P1b5/5P1P/1P1PP1PR/R1B1KB2 w Q - 3 34,+1033
8/5K2/PP6/7P/8/2p2k2/2P5/8 w - - 10 145,+7
rnq1kbnr/pb1p2pp/1pp1pp2/8/4P3/PPN5/2PPQPPP/R1B1KBNR b KQkq - 2 7,-19
r1bk4/Qppnppr1/8/3pn1Np/8/P1K3P1/1PP1PP1P/RN3B1R w - - 4 20,+1136
K2n4/8/6pk/R2p3p/1r1BPP1P/N7/1P6/8 w - - 8 103,+948
8/8/KP6/6q1/8/4R3/3k4/8 w - - 22 220,-8
5R2/1kp2p2/8/P2r3p/2b2P1P/5n2/1b2P1B1/2R2K2 b - - 4 77,+328
8/2P5/8/K7/8/8/6k1/8 w - - 3 247,+9
6R1/2p2p2/5k2/P1R2P1p/3n3P/8/1b2PKB1/3r4 b - - 6 83,-387
8/2p5/p7/7k/P7/8/8/2n1K3 b - - 0 130,+1320
2q2r1k/p1p1pb2/5p1b/1p3n2/1PPP3P/4Q1P1/P1K1PR2/1RBN4 w - - 0 44,+217
4K3/5Pk1/8/4P3/2P5/8/8/8 w - - 1 274,+6
r2k3r/p4p1p/b1p1pb2/3qn3/3R2Pn/PP5B/2P1PP1P/4K1R1 w - - 15 35,-1301
4K3/6P1/3P2k1/8/P4P1p/4p2P/RP6/1b6 b - - 4 138,0
8/8/1P4k1/4P3/4K3/3P4/8/8 w - - 3 128,+6
6K1/8/8/5k2/7n/8/3b4/8 b - - 36 157,+12
2b4r/1p1p1p2/4k2p/1Bpn2q1/3Ppp2/8/PP1PKPPP/R1B4R b - - 9 35,+1046
8/8/8/8/K7/2q5/5k2/6r1 w - - 56 252,-2
r2kr3/3p2pp/p3n2n/4ppP1/1b2PB2/P2P3P/bPP2PR1/1R1K4 b - - 14 59,+1155
8/p6k/8/8/1K6/PPP1Bb2/2R5/7B w - - 16 131,+15
8/1k4K1/8/1p1P2P1/4PP2/P1P5/8/5R2 w - - 6 127,+1327
8/8/P5K1/8/6k1/8/8/8 b - - 32 258,-10
8/7p/3p2B1/5Nk1/1p1PPnP1/1P1P4/1P5K/R1B5 b - - 1 58,-1327
8/2p1kb2/8/3n2P1/PPP5/B7/3P3P/b5K1 w - - 2 77,0
8/5k2/p7/P3K3/8/8/8/7q b - - 27 183,+7
8/5K2/8/5k2/8/2P5/8/8 w - - 15 219,+1
8/2k5/1R3P2/3P3p/1p2rP1P/8/8/K2R4 w - - 14 142,+1327
3Rq1k1/8/1p4p1/2P1p2p/4P3/P2PN1K1/1P4P1/1R2NB2 b - - 1 58,-933
2K1R3/2b5/6k1/8/8/8/8/8 b - - 59 176,-2
8/p7/1p3k1P/1P1r4/P1K5/5q2/8/8 b - - 6 118,+2
3K4/2P4k/P7/8/1P6/8/8/8 w - - 3 147,+6
8/k1B4p/2b5/2p5/P7/3r4/7r/4K3 b - - 5 109,+5
2k5/5K2/8/3R4/8/2p5/2P5/8 b - - 38 193,-9
8/8/3k1N2/2p4n/4K3/3P2P1/PPP1B3/3R4 w - - 5 96,+1327
8/4B3/8/2P5/p7/P1K2P2/RP6/5N1k b - - 32 94,-6
